word	language	count
물체	ko	1902
나무	ko	1902
아내	ko	1901
기년	ko	1899
음식	ko	1898
실	ko	1896
해체	ko	1896
태평양	ko	1896
증명	ko	1895
연혁	ko	1895
서부	ko	1894
채택	ko	1894
청나라	ko	1894
기자	ko	1892
책임	ko	1892
교	ko	1891
멸망	ko	1888
원칙	ko	1884
근무	ko	1882
권리	ko	1882
베트남	ko	1882
가격	ko	1881
개정	ko	1879
집합	ko	1873
자라	ko	1873
소수	ko	1872
농업	ko	1870
방송국	ko	1860
채널	ko	1860
대사	ko	1858
유학	ko	1857
제조	ko	1856
반도	ko	1855
삶	ko	1854
충돌	ko	1852
강제	ko	1851
달하	ko	1851
누구	ko	1849
칸	ko	1849
이기	ko	1847
군인	ko	1847
돕	ko	1846
무대	ko	1846
암	ko	1846
대응	ko	1844
작성	ko	1842
이하	ko	1842
지하철	ko	1842
장비	ko	1840
논문	ko	1839
중화인민공화국	ko	1839
내각	ko	1838
링크	ko	1836
유	ko	1836
띠	ko	1834
족	ko	1834
불과	ko	1831
제목	ko	1830
화학	ko	1829
중심지	ko	1829
가사	ko	1829
펼치	ko	1827
전개	ko	1824
지식	ko	1818
공장	ko	1817
흔히	ko	1815
율	ko	1815
주인공	ko	1814
협회	ko	1814
판단	ko	1812
끌	ko	1809
강조	ko	1807
거대	ko	1807
반발	ko	1806
영상	ko	1806
겨울	ko	1806
따	ko	1804
전력	ko	1803
공산당	ko	1802
출생	ko	1801
듯	ko	1801
감소	ko	1800
으면서	ko	1800
쇼	ko	1800
회복	ko	1796
새로	ko	1794
위기	ko	1791
마리	ko	1791
밝	ko	1789
등급	ko	1789
멀	ko	1786
개편	ko	1785
이주	ko	1783
집중	ko	1782
인근	ko	1781
등록	ko	1781
회원	ko	1779
이사	ko	1778
진	ko	1775
학년	ko	1770
거절	ko	1770
송	ko	1770
비디오	ko	1769
밤	ko	1767
활용	ko	1766
개선	ko	1766
아일랜드	ko	1764
네트워크	ko	1763
사항	ko	1762
상업	ko	1757
항성	ko	1756
선발	ko	1755
인수	ko	1755
항복	ko	1755
만약	ko	1754
승격	ko	1753
여행	ko	1752
분포	ko	1752
식물	ko	1751
성질	ko	1750
주어지	ko	1747
엔	ko	1747
번호	ko	1746
여전히	ko	1744
웹	ko	1743
친	ko	1743
건축	ko	1742
김구	ko	1742
신호	ko	1741
산맥	ko	1740
영향력	ko	1738
너무	ko	1738
원정	ko	1737
민주당	ko	1735
국왕	ko	1735
교사	ko	1731
일본인	ko	1731
라운드	ko	1731
수정	ko	1730
중간	ko	1729
목	ko	1729
개신교	ko	1728
추	ko	1728
겸	ko	1728
전략	ko	1727
오페라	ko	1726
노동자	ko	1726
발음	ko	1722
마련	ko	1721
투수	ko	1721
도중	ko	1718
이미지	ko	1717
장악	ko	1715
자격	ko	1714
초반	ko	1714
자원	ko	1713
범위	ko	1712
응용	ko	1711
이슬람	ko	1710
소비에트	ko	1708
오사카	ko	1708
조조	ko	1704
기체	ko	1702
전선	ko	1696
교체	ko	1696
남편	ko	1695
저장	ko	1694
확보	ko	1693
해안	ko	1693
가하	ko	1692
대학원	ko	1690
측면	ko	1689
한글	ko	1688
비용	ko	1688
하루	ko	1686
논쟁	ko	1685
꽃	ko	1685
학과	ko	1685
순위	ko	1683
에게서	ko	1682
유리	ko	1680
칼	ko	1680
보수	ko	1678
현실	ko	1677
종합	ko	1676
광고	ko	1675
발사	ko	1672
상하이	ko	1670
검	ko	1669
친일	ko	1666
일종	ko	1663
오스트레일리아	ko	1663
합치	ko	1661
신학	ko	1661
원리	ko	1660
달성	ko	1658
구별	ko	1657
획득	ko	1657
전설	ko	1656
척	ko	1655
기여	ko	1653
항상	ko	1650
임무	ko	1650
얼마	ko	1648
기호	ko	1647
하늘	ko	1647
주교	ko	1647
비율	ko	1645
비행	ko	1644
은하	ko	1641
전환	ko	1640
수단	ko	1640
캠퍼스	ko	1638
본격	ko	1636
소재	ko	1636
메모리	ko	1635
참석	ko	1634
일컫	ko	1633
미사일	ko	1633
사이트	ko	1633
거	ko	1632
종종	ko	1631
시각	ko	1630
승인	ko	1629
변	ko	1627
임시정부	ko	1625
왕위	ko	1624
견해	ko	1623
성우	ko	1622
갈등	ko	1621
전역	ko	1621
병원	ko	1619
투쟁	ko	1619
맥	ko	1618
규칙	ko	1617
방어	ko	1616
한반도	ko	1616
성능	ko	1615
일대	ko	1614
출발	ko	1613
위원장	ko	1612
잘못	ko	1611
다섯	ko	1611
